background, draw, blitScreen, flip
0.0118626111398, 0.000564617379334, 0.00137971955968, 0.0013473823825, 
0.0123984843616, 0.000785844734327, 0.000971141892454, 0.00136432090388, 
0.0124657251586, 0.000616459520527, 0.00110049060117, 0.00156193698665, 
0.0125309128015, 0.00062980502222, 0.00118877622776, 0.00145157995341, 
0.0120427754127, 0.000687806625733, 0.0018324400402, 0.00128270802814, 
0.0121633982164, 0.000588741940087, 0.000983974105621, 0.00166972757725, 
0.0118970014711, 0.000912113711887, 0.00097935450888, 0.00122367984757, 
0.0118466991955, 0.000657009314133, 0.000971141892454, 0.00127449541171, 
0.0118153885953, 0.000664708642033, 0.00143156170087, 0.00128835420193, 
0.0122455243807, 0.000592334959774, 0.000969602026874, 0.00129400037573, 
0.0124554593881, 0.000668301661721, 0.00107328630926, 0.00163585053449, 
