background, draw, blitScreen, flip,
0.012063307,0.000550759,0.000966522,0.001260123, 
0.011876983,0.000555891,0.001808829,0.001281168, 
0.012373333,0.000606707,0.000987567,0.001509582, 
0.012647943,0.000609273,0.001054808,0.001330444, 
0.012234745,0.000695506,0.001226246,0.001325824, 
0.012286074,0.000598494,0.001020931,0.002615205, 
0.012470858,0.00060876,0.000980381,0.00133147, 
0.012361528,0.000937778,0.000987054,0.001536273, 
0.012390272,0.000601574,0.001005532,0.001260637, 
0.011976048,0.000601061,0.001011178,0.001324798, 
0.012281455,0.000554352,0.000979355,0.001517794, 
0.012387705,0.000655983,0.000990647,0.001195962, 
0.012025324,0.000593875,0.000985514,0.001246778, 
0.011791264,0.000597981,0.001739022,0.001345329, 
0.01450502,0.000604141,0.001033763,0.001626611, 
0.012718263,0.000857705,0.000969089,0.011238452, 
0.012334323,0.000860785,0.000989107,0.001203148, 
0.011934472,0.000617486,0.001335577,0.001364834, 
0.013893181,0.000630318,0.001029143,0.00129862, 
0.012847612,0.000709878,0.001169271,0.001671781, 
0.012048422,0.000782252,0.001020931,0.001346869, 
0.012343049,0.000978328,0.00160146,0.001250371, 
0.020019792,0.000677028,0.000980381,0.001352515, 
0.011820008,0.000664709,0.000963443,0.001349436, 
0.012382572,0.000695506,0.000986027,0.00126577, 
0.012790124,0.000613893,0.000936752,0.001628151, 
0.011976048,0.000657523,0.000983461,0.001250371, 
0.012507815,0.0007648,0.001204175,0.002424775, 
0.012320978,0.000676514,0.000974735,0.001278602, 
0.012248091,0.00091622,0.000979868,0.001228299, 
0.011772272,0.001017851,0.001230866,0.001235999, 
0.012660775,0.000704232,0.000968575,0.002023897, 
0.012904587,0.000665735,0.001042489,0.00164663, 
0.012314305,0.000634938,0.000984487,0.001377153, 
0.011779458,0.000694993,0.001687693,0.001422836, 
0.012325597,0.000707312,0.001203662,0.001560397, 
0.013219233,0.00061492,0.000981408,0.001242158, 
0.013597526,0.000752994,0.000961903,0.001318638, 
0.011889815,0.002507414,0.000950097,0.001258583, 
0.01306268,0.000609787,0.001005532,0.001229326, 
0.012469318,0.000747348,0.001032737,0.001510608, 
0.012144407,0.000929566,0.001765199,0.001338143, 
0.012924605,0.00099578,0.000985001,0.001973594, 
0.013143779,0.000562051,0.001758013,0.002616232, 
0.012651022,0.000599521,0.001182103,0.001316072, 
0.013171497,0.000567697,0.000966009,0.00214298, 
0.014400823,0.000705258,0.001032223,0.001857078, 
0.012542718,0.000549219,0.00098808,0.001236512, 
0.01229018,0.000591822,0.000970115,0.001217007, 
0.012124902,0.000991673,0.001046595,0.001353542, 
0.01203251,0.000566671,0.002260009,0.001271416, 
0.012388732,0.00064623,0.000978328,0.001554751, 
0.012224993,0.008128437,0.001065074,0.00210551, 
0.014918731,0.000601574,0.001156439,0.002749687, 
0.012312252,0.000753508,0.000973708,0.001214441, 
0.012068953,0.001054808,0.000973708,0.001319152, 
0.013374246,0.000637504,0.001622505,0.001205715, 
0.012712104,0.000817155,0.000964982,0.001257557, 
0.012168531,0.000614406,0.001027604,0.001611726, 
0.011687066,0.000751968,0.001044542,0.002434014, 
0.013864436,0.000797137,0.000978328,0.001379206, 
0.012473938,0.000660602,0.001071233,0.001538839, 
0.012161858,0.00072425,0.005758071,0.001712844, 
0.012412343,0.000621079,0.00214144,0.001288867, 
0.012829647,0.000576423,0.001051215,0.001437721, 
0.012195222,0.000558971,0.000993213,0.001231892, 
0.013706344,0.000559998,0.001183643,0.001387419, 
0.012587375,0.000667788,0.001085605,0.001639444, 
0.012053554,0.000934698,0.00106456,0.001247804, 
0.012393351,0.000583096,0.00099116,0.001623018, 
0.013138133,0.000599521,0.001006046,0.001298107, 
0.012602773,0.000651876,0.00098962,0.00137356, 
0.011868771,0.000550759,0.001884282,0.001265256, 
0.012295827,0.000552298,0.000969089,0.005196533, 
0.017349152,0.000582582,0.001092791,0.001350462, 
0.012852745,0.000567184,0.000972682,0.001227786, 
0.011889302,0.000566671,0.001176971,0.001868884, 
0.012257843,0.000552812,0.000991673,0.001258583, 
0.012283508,0.000692426,0.000982948,0.001239079, 
0.011694253,0.000600548,0.001670754,0.002418102, 
0.011702978,0.000576936,0.001037356,0.001328391, 
0.012067413,0.000559484,0.001039409,0.001308886, 
0.011711704,0.00068524,0.001579389,0.001271416, 
Averages,,,,
0.013505831,0.000646251,0.001228063,0.001660401,
background, draw, blitScreen, flip
0.0293046685645, 0.00055743133996, 0.0024791835838, 0.00363151632617, 
0.0293472715122, 0.000698072396267, 0.00232725017991, 0.00227386817313, 
